MachineNo,MachineCode,ProductionID,ItemCode,ItemName,TotalQuantity,ScrapQuantity,SyncTime,UserName,MHECode,QualityStatus,LiveQty,source_schema
DualEx,DualEx,DualEx_03012026133426_8,70015SK12PR-TT TREAD-NBJ,70015SK12PR-TT TREAD-NBJ,50.0,1.0,2026-01-03 13:34:26.123,16954,A000009,Consumed1,0,DualEx
DualEx,DualEx,DualEx_03012026135755_1,195R15RANGBRTTT-NBJ,195R15RANGBRTTT-NBJ,50.0,1.0,2026-01-03 13:57:55.623,16954,I000009,Ready To Use,,DualEx
DualEx,DualEx,DualEx_03012026140720_2,195R15RANGBRTTT-NBJ,195R15RANGBRTTT-NBJ,110.0,2.0,2026-01-03 14:07:20.950,16954,LT00141,Consumed1,0,DualEx
DualEx,DualEx,DualEx_03012026141926_3,195R15RANGBRTTT-NBJ,195R15RANGBRTTT-NBJ,60.0,1.0,2026-01-03 14:19:26.193,16954,T000003,Consumed,0.00,DualEx
DualEx,DualEx,DualEx_03012026143919_4,195R15RANGBRTTT-NBJ,195R15RANGBRTTT-NBJ,160.0,5.0,2026-01-03 14:39:19.250,16954,LT00150,Ready To Use,,DualEx
DualEx,DualEx,DualEx_03012026182917_4,70015SK12PR-TT TREAD-NBJ,70015SK12PR-TT TREAD-NBJ,160.0,1.0,2026-01-03 18:29:17.110,16954,LT00148,Consumed1,0,DualEx
DualEx,DualEx,DualEx_03012026185723_5,70015SK12PR-TT TREAD-NBJ,70015SK12PR-TT TREAD-NBJ,170.0,1.0,2026-01-03 18:57:23.457,16954,LT00124,Consumed1,0,DualEx
DualEx,DualEx,DualEx_03012026193737_7,70015SK12PR-TT TREAD-NBJ,70015SK12PR-TT TREAD-NBJ,80.0,1.0,2026-01-03 19:37:37.783,16954,LT00035,Consumed,0.00,DualEx
Duplex_winder 1,Duplex_winder 1,Duplex_03012026090241_4,1956016RANGHPE-VMAXX,1956016RANGHPE-VMAXX,110.0,0.0,2026-01-03 09:02:41.227,16976,CSTA623,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_03012026090723_5,1956016RANGHPE-VMAXX,1956016RANGHPE-VMAXX,110.0,0.0,2026-01-03 09:07:23.437,16976,CSTA433,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_03012026091158_6,1956016RANGHPE-VMAXX,1956016RANGHPE-VMAXX,110.0,0.0,2026-01-03 09:11:58.313,16976,CSTA959,Ready to use,85.31,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_03012026091612_7,1956016RANGHPE-VMAXX,1956016RANGHPE-VMAXX,110.0,0.0,2026-01-03 09:16:12.733,16976,CSTA802,Consumed,0.00,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_03012026091849_8,1956016RANGHPE-VMAXX,1956016RANGHPE-VMAXX,110.0,0.0,2026-01-03 09:18:49.283,16976,CSTA187,Consumed,0.00,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_03012026105543_2,21575R15RANHT-VMAXX,21575R15RANHT-VMAXX,110.0,0.0,2026-01-03 10:55:43.733,16976,CSTA962,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_03012026112131_5,21575R15RANHT-VMAXX,21575R15RANHT-VMAXX,110.0,0.0,2026-01-03 11:21:31.323,16976,CSTA219,Consumed,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_03012026112503_6,21575R15RANHT-VMAXX,21575R15RANHT-VMAXX,110.0,0.0,2026-01-03 11:25:03.143,16976,CSTA156,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_03012026113751_1,23565R17RNGRHT-VMAXX,23565R17RNGRHT-VMAXX,110.0,0.0,2026-01-03 11:37:51.030,16976,CSTA508,Consumed,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_03012026114513_2,23565R17RNGRHT-VMAXX,23565R17RNGRHT-VMAXX,110.0,0.0,2026-01-03 11:45:13.833,16976,CSTA720,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_03012026114950_3,23565R17RNGRHT-VMAXX,23565R17RNGRHT-VMAXX,110.0,0.0,2026-01-03 11:49:49.990,16976,CSTA154,Consumed,0.00,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_03012026134610_5,16580R14UXTOUR-VMAXX,16580R14UXTOUR-VMAXX,110.0,0.0,2026-01-03 13:46:10.110,16976,CSTB583,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_03012026141038_2,21560R17UXR96H-VMAXX,21560R17UXR96H-VMAXX,110.0,0.0,2026-01-03 14:10:38.080,16976,CSTA214,Consumed,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_03012026142156_3,21560R17UXR96H-VMAXX,21560R17UXR96H-VMAXX,110.0,0.0,2026-01-03 14:21:56.490,16976,CSTA801,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_03012026153929_2,16570R14TAXI-VMAXX,16570R14TAXI-VMAXX,110.0,0.0,2026-01-03 15:39:29.720,16990,CSTA221,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_03012026155058_4,16570R14TAXI-VMAXX,16570R14TAXI-VMAXX,110.0,0.0,2026-01-03 15:50:58.453,16990,CSTA961,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_03012026163804_6,16565R14TAXI-VMAXX,16565R14TAXI-VMAXX,100.0,0.0,2026-01-03 16:38:04.137,16990,CSTA691,Consumed1,0,Duplex
