MachineNo,MachineCode,ProductionID,ItemCode,ItemName,TotalQuantity,ScrapQuantity,SyncTime,UserName,MHECode,QualityStatus,LiveQty,source_schema
DualEx,DualEx,DualEx_03012026083650_11,70015SK12PR-TT TREAD-NBJ,70015SK12PR-TT TREAD-NBJ,80.0,1.0,2026-01-03 08:36:50.657,16954,A000004,Consumed1,0,DualEx
DualEx,DualEx,DualEx_03012026095415_16,70015SK12PR-TT TREAD-NBJ,70015SK12PR-TT TREAD-NBJ,50.0,1.0,2026-01-03 09:54:15.390,16954,T000004,Ready To Use,,DualEx
DualEx,DualEx,DualEx_03012026111714_1,195R15RANGBRTTT-NBJ,195R15RANGBRTTT-NBJ,160.0,1.0,2026-01-03 11:17:14.777,16954,LT00150,Consumed1,0,DualEx
DualEx,DualEx,DualEx_03012026114642_2,195R15RANGBRTTT-NBJ,195R15RANGBRTTT-NBJ,120.0,1.0,2026-01-03 11:46:42.687,16954,LT00142,Consumed1,0,DualEx
DualEx,DualEx,DualEx_03012026121330_3,195R15RANGBRTTT-NBJ,195R15RANGBRTTT-NBJ,70.0,2.0,2026-01-03 12:13:30.063,16954,LT00082,Consumed1,0,DualEx
Duplex_winder 1,Duplex_winder 1,Duplex_03012026072924_12,SW14580R13ULTNEO-NBJ,SW14580R13ULTNEO-NBJ,90.0,0.0,2026-01-03 07:29:24.587,16976,SWNBJ16,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_03012026073828_13,SW14580R13ULTNEO-NBJ,SW14580R13ULTNEO-NBJ,90.0,0.0,2026-01-03 07:38:28.600,16976,SWNBJ02,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_03012026074419_14,SW14580R13ULTNEO-NBJ,SW14580R13ULTNEO-NBJ,90.0,0.0,2026-01-03 07:44:19.803,16976,SWNBJ24,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_03012026080351_5,2357515RANGXAT-2S,2357515RANGXAT-2S,120.0,0.0,2026-01-03 08:03:51.497,16976,SW00066,Consumed,0.00,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_03012026080414_6,2357515RANGXAT-2S,2357515RANGXAT-2S,120.0,0.0,2026-01-03 08:04:14.440,16976,SW00061,Consumed,0.00,Duplex
